Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,CO,NO2,SO2
2019-02-18 23:00:00,66,1.2,5.0,996.0,0.0,0.0,0.0,-0.6,0.0,0,23,18,2,2019,0,0,4.897989074424303,1.0006318908263727,0.6624817615288738,3.484634332697734,1.6644183867503395
2019-02-19 00:00:00,70,1.6,5.0,996.2,0.0,0.0,0.0,-1.4,0.0,0,0,19,2,2019,0,0,4.79768959544911,1.0986122886681098,0.6382685086226062,3.4192894252392305,1.535619147875996
2019-02-19 01:00:00,75,2.0,5.0,996.0,0.0,0.0,90.0,-2.0,0.0,0,1,19,2,2019,0,0,4.8430052740162886,0.9242588939544881,0.6008125661670783,3.2574347625590616,1.1738434498412103
2019-02-19 02:00:00,72,2.4,5.0,995.7,0.0,0.0,0.0,-3.0,0.0,0,2,19,2,2019,0,0,4.779711552900089,0.03922071229359892,0.6443770150389773,3.2485743908130282,1.032757339488905
2019-02-19 03:00:00,78,2.4,5.0,995.6,0.0,0.0,120.0,-3.2,0.0,0,3,19,2,2019,0,0,4.760377458129565,,0.6197158955975902,3.249315767183206,1.38774331307527
2019-02-19 04:00:00,81,2.8,5.0,995.7,0.0,0.0,110.0,-4.0,0.0,0,4,19,2,2019,0,0,4.720906654570148,1.401182959519932,0.5944311947261844,3.0425919736299276,1.3743735908032635
2019-02-19 05:00:00,81,2.8,5.0,995.8,0.0,0.0,0.0,-4.0,0.0,0,5,19,2,2019,0,0,4.676187678908464,1.9544450434002698,0.5350888744496008,2.854669737352516,1.4331779260888655
2019-02-19 06:00:00,80,2.8,5.0,996.1,0.0,58.01,0.0,-3.4,0.0,0,6,19,2,2019,0,0,4.617691487638252,1.811562077824738,0.5075402249094613,2.878574688377021,1.3676211259754139
2019-02-19 07:00:00,80,2.4,5.0,996.1,0.0,224.99,120.0,-0.2,0.0,0,7,19,2,2019,0,0,4.9932178449022055,0.63127177430549,0.7034934698769009,3.1913442960000564,2.2664396938189326
2019-02-19 08:00:00,83,2.4,5.0,996.2,0.0,385.83,0.0,3.0,0.0,0,8,19,2,2019,0,0,4.920418768344995,1.4586150116102805,0.6743720384493955,3.12057481835461,1.8562667123391279
2019-02-19 09:00:00,73,2.4,5.0,996.2,0.0,511.81,0.0,5.9,0.0,0,9,19,2,2019,0,0,4.838343289858777,2.3960753943907034,0.6008125661670783,3.2813960523810133,1.8929915060184654
2019-02-19 10:00:00,66,2.4,5.0,995.3,0.0,587.7,0.0,9.0,0.0,0,10,19,2,2019,0,0,4.9469852670198,3.562749129367148,0.5684905904902032,3.068675956092284,1.8889768972142194
