Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,NO2
2019-01-16 18:00:00,-0.07782294241118845,0.42857142857142855,0.2222222222222222,0.4153740337292425,0.0,-0.7010279416322301,0.05527442843419604,-1.6566059060537233,0.0,0.13,0.7826086956521738,0.5,0.0,0.0,0.0,0.0,2.1342920621111503,-1.3125125834929348,2.2499317271917336
2019-01-16 19:00:00,-0.07782294241118845,0.42857142857142855,0.2222222222222222,0.9575603019813312,0.0,-0.7010279416322301,-0.5079549094970467,-1.8227950111979014,0.0,0.08,0.8260869565217391,0.5,0.0,0.0,0.0,0.0,2.6197586345890462,-1.156506509587578,2.143748486419439
2019-01-16 20:00:00,-0.12696795383729206,0.42857142857142855,1.0,0.9651967282947341,0.0,-0.7010279416322301,-1.2759949157669233,-1.8955027446984798,0.0,0.0,0.8695652173913043,0.5,0.0,0.0,0.0,0.0,2.278662248138752,-1.352128607609676,1.515583086008013
2019-01-16 21:00:00,-0.12696795383729206,0.39999999999999997,1.0,1.0797431229958812,0.0,-0.7010279416322301,-1.122386914512948,-1.9785972972705685,0.0,0.0,0.9130434782608695,0.5,0.0,0.0,0.0,0.0,2.085838649061007,-1.4781055032183568,1.3227660218442354
2019-01-16 22:00:00,-0.07782294241118845,0.39999999999999997,1.0,1.0644702703690754,0.0,-0.7010279416322301,-0.6103602436663635,-1.9889841163420798,0.0,0.0,0.9565217391304348,0.5,0.0,0.0,0.0,0.0,1.8065370319858252,-1.368481661848199,1.2116120137778088
2019-01-16 23:00:00,-0.028677930985084837,0.37142857142857144,0.2222222222222222,1.0491974177422523,0.0,-0.7010279416322301,-0.7127655778356804,-2.072078668914169,0.0,0.05,1.0,0.5,0.0,0.0,0.0,0.0,1.8975379772673426,-1.2275707467976318,1.306675235951743
2019-01-17 00:00:00,0.0696120918671224,0.3428571428571428,0.2222222222222222,0.5910118389376644,0.0,-0.7010279416322301,0.10647709551885447,-1.9993709354135911,0.0,0.09,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,2.321665582259275,-1.2205532789582842,1.3248985523801156
2019-01-17 01:00:00,0.11875710329322602,0.3142857142857143,0.1111111111111111,0.5833754126242442,0.0,-0.7010279416322301,-1.5320082511902153,-2.1551732214862582,0.0,0.34,0.043478260869565216,0.5333333333333333,0.0,0.0,0.0,0.0,2.277945172374573,-1.3202961597141676,1.085638858451464
2019-01-17 02:00:00,0.26619213757153687,0.2857142857142857,0.2222222222222222,0.5833754126242442,0.0,-0.7010279416322301,-1.5320082511902153,-2.1967204977723025,0.0,0.11,0.08695652173913043,0.5333333333333333,0.0,0.0,0.0,0.0,2.205358961475666,-1.464216120797983,1.1105519883859087
2019-01-17 03:00:00,0.3153371489976405,0.2857142857142857,0.2222222222222222,0.5833754126242442,0.0,-0.7010279416322301,-0.25194157407375456,-2.2798150503443915,0.0,0.04,0.13043478260869565,0.5333333333333333,0.0,0.0,0.0,0.0,2.095477935657506,-1.4969678751169857,0.8888457907673497
