Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,PM25,SO2
2019-01-01 00:00:00,0.9417494879288992,0.2857142857142857,0.0,0.5767842873024793,0.0,-0.6547384696770893,1.3214732631891986,-0.8376532059062616,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0,1,-0.606521328846992,-0.6867331622409316,-0.7809569282895998
2019-01-01 01:00:00,0.8918205504944761,0.2857142857142857,0.0,1.5475385851927526,0.0,-0.6547384696770893,-1.058025525624505,-1.1511096985697393,0.0,0.7000000000000001,0.043478260869565216,0.0,0.0,0.0,0,1,-0.36380003112886233,-0.3646764483831612,-0.7272136907549164
2019-01-01 02:00:00,0.8418916130600529,0.3142857142857143,1.0,1.6554001738472375,0.0,-0.6547384696770893,-0.7180971272225475,-1.1287199490937765,0.0,0.71,0.08695652173913043,0.0,0.0,0.0,0,1,-0.33273570835435223,-0.333145142602232,-0.9573978444906709
2019-01-01 03:00:00,0.8918205504944761,0.3142857142857143,1.0,1.5340558866109553,0.0,-0.6547384696770893,-1.2279897248254839,-1.1287199490937765,0.0,0.73,0.13043478260869565,0.0,0.0,0.0,0,1,-0.27031595702460576,-0.30548956740822814,-0.8567784153598076
2019-01-01 04:00:00,0.8918205504944761,0.2857142857142857,1.0,1.5070904894473303,0.0,-0.6547384696770893,-0.4631508284210792,-1.1399148238317578,0.0,0.73,0.17391304347826086,0.0,0.0,0.0,0,1,-0.4477611674593233,-0.4847741903854302,-0.644278693407537
2019-01-01 05:00:00,0.9916784253633224,0.2857142857142857,1.0,1.6149520781017999,0.0,-0.6547384696770893,-1.3979539240264627,-1.1399148238317578,0.0,0.71,0.21739130434782608,0.0,0.0,0.0,0,1,-0.6744314617205446,-0.7049861659370201,-0.5924177893199367
2019-01-01 06:00:00,0.9916784253633224,0.2857142857142857,0.0,0.765542067447809,0.0,-0.6547384696770893,1.3214732631891986,-0.9048224543341497,0.0,0.67,0.2608695652173913,0.0,0.0,0.0,0,1,-0.6282043603530202,-0.6369069513146046,-0.5995964989883753
2019-01-01 07:00:00,0.9417494879288992,0.2857142857142857,0.0,0.7790247660296215,0.0,-0.331856422807706,-0.9730434260240157,-0.8600429553822243,0.0,0.61,0.30434782608695654,0.0,0.0,0.0,0,1,-0.7021696255417688,-0.7583760162528017,-0.9221636101226156
2019-01-01 08:00:00,0.8418916130600529,0.3142857142857143,0.1111111111111111,0.8059901631932312,0.0,0.24284815154239134,-1.3979539240264627,-0.8040685816923177,0.0,0.26,0.34782608695652173,0.0,0.0,0.0,0,1,-0.7651552698414357,-0.799175470257057,-0.5239690837046173
2019-01-01 09:00:00,0.5423179884535138,0.3428571428571428,0.2222222222222222,0.8329555603568563,0.0,0.6664719042713025,1.3214732631891986,-0.7592890827403922,0.0,0.03,0.3913043478260869,0.0,0.0,0.0,0,1,-0.8470742417182688,-0.8430732183948074,-0.7568750794019375
2019-01-01 10:00:00,-0.3564028853661038,0.3428571428571428,1.0,0.6981285745387615,0.0,0.9039928703743842,1.576419561990667,-0.6473403353605788,0.0,0.01,0.43478260869565216,0.0,0.0,0.0,0,1,-0.8467712874288222,-0.7601733600296452,-0.6630531887657628
2019-01-01 11:00:00,-0.655976509972643,0.3428571428571428,1.0,0.5902669858842918,0.0,0.9318819068472708,1.4914374623901774,-0.5465864627187468,0.0,0.0,0.4782608695652174,0.0,0.0,0.0,0,1,-1.0402198616202263,-0.9349952915388788,0.21927807728401347
2019-01-01 12:00:00,-0.5561186351037966,0.3428571428571428,1.0,0.45544000006619706,0.0,0.7467352024106255,1.3214732631891986,-0.4346377153389333,0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0,1,-1.402431692728184,-1.3709119593062211,1.0168926411778167
2019-01-01 13:00:00,-0.45626076023495016,0.3142857142857143,0.2222222222222222,0.4149919043207594,0.0,0.3718637070380875,1.406455362789688,-0.5465864627187468,0.0,0.09,0.5652173913043478,0.0,0.0,0.0,0,1,-1.3102849764522317,-1.1418934403356702,0.6715531788328944
2019-01-01 14:00:00,-0.45626076023495016,0.2857142857142857,0.0,0.36106110999352453,0.0,-0.15381090973471181,1.4914374623901774,-0.6473403353605788,0.0,0.41000000000000003,0.6086956521739131,0.0,0.0,0.0,0,1,-1.1032081244578877,-0.9569008883026535,0.6554812679208615
2019-01-01 15:00:00,-0.056829260759564626,0.3142857142857143,0.1111111111111111,0.32061301424810223,0.0,-0.6224993385863343,1.3214732631891986,-0.7592890827403922,0.0,0.36,0.6521739130434783,0.0,0.0,0.0,0,1,-1.0851156272170326,-1.1208750752793606,0.2888216188354108
2019-01-01 16:00:00,0.3426022387158209,0.2857142857142857,0.2222222222222222,0.34757841141171203,0.0,-0.6547384696770893,1.6614016615911562,-0.8488480806442429,0.0,0.03,0.6956521739130435,0.0,0.0,0.0,0,1,-0.8142665855955372,-0.7870242766878013,-0.22986261483073991
2019-01-01 17:00:00,0.4424601135846673,0.2857142857142857,1.0,0.34757841141171203,0.0,-0.6547384696770893,0.6416164663852832,-0.949601953286075,0.0,0.01,0.7391304347826086,0.0,0.0,0.0,0,1,-0.47178636868180535,-0.3816141101926735,-0.5103629167659168
2019-01-01 18:00:00,0.6421758633223601,0.2571428571428571,0.2222222222222222,0.3745438085753371,0.0,-0.6547384696770893,0.8115806655862621,-1.0391609511899258,0.0,0.04,0.7826086956521738,0.0,0.0,0.0,0,1,-0.40368479747738173,-0.4034121546703972,-0.8534596402176267
